"","time","delta","A","B","C","D","E","G"
"1",12.7707303661387,0,"2","2","2","1","2","3"
"2",9.85622433386743,1,"3","2","1","2","2","3"
"3",39.0771952748066,0,"1","2","2","1","2","2"
"4",1.0127383264713,0,"1","2","1","3","2","1"
"5",5.62595275603235,1,"3","2","1","1","2","3"
"6",27.3008794616908,1,"3","2","1","2","2","2"
"7",4.80103078647517,1,"2","2","1","1","2","3"
"8",40.354555128119,0,"1","2","2","3","2","2"
"9",45.0323425553972,0,"2","2","1","3","1","1"
"10",16.2396540353075,1,"1","2","1","3","2","2"
"11",24.877703608945,1,"2","3","1","2","2","2"
"12",22.9857970718294,1,"1","2","2","2","2","2"
"13",62.7181616127491,0,"1","3","2","2","2","2"
"14",59.2488300900441,0,"2","1","1","1","2","3"
"15",30.5799166616052,1,"1","2","2","2","2","2"
"16",40.9965912112966,1,"3","2","1","1","2","3"
"17",59.1522493006196,0,"1","2","1","3","2","2"
"18",3.90382505371235,1,"3","2","1","3","2","2"
"19",1.79179454804398,1,"1","1","1","2","2","3"
"20",0.835964869451709,0,"1","3","1","2","1","2"
"21",68.9290933094453,0,"2","2","1","2","2","2"
"22",18.8549300830346,1,"1","2","3","2","2","2"
"23",33.6407457065769,0,"2","2","2","2","2","2"
"24",13.9735872430261,0,"1","2","1","1","2","3"
"25",5.16826389729977,1,"1","2","1","1","2","3"
"26",17.7348110846942,0,"1","2","1","1","1","3"
"27",50.1790601273533,1,"3","2","1","1","2","2"
"28",13.0153595969081,0,"3","3","1","1","2","2"
"29",0.100909651792608,0,"3","2","2","3","2","2"
"30",69.3884566561319,0,"2","3","1","1","1","2"
"31",42.6622768724337,1,"1","2","1","1","2","2"
"32",38.7443801881745,1,"1","2","1","3","2","2"
"33",19.0653549714712,0,"3","2","1","2","2","2"
"34",62.285574126523,0,"1","3","1","1","2","1"
"35",10.4247464213287,0,"1","3","1","3","2","2"
"36",32.4309089230374,1,"2","2","2","1","2","2"
"37",49.4311302273534,0,"1","2","1","3","2","2"
"38",10.7060543337837,0,"3","2","2","1","1","2"
"39",68.4667490052525,0,"2","2","1","1","2","2"
"40",24.08163218759,1,"1","2","1","2","2","3"
"41",8.07386734895408,1,"2","1","1","3","1","2"
"42",5.71704041503835,0,"1","2","1","2","2","2"
"43",4.43341224337928,1,"1","1","2","3","2","2"
"44",27.8707270044833,1,"3","2","1","2","2","2"
"45",10.39955124259,1,"3","3","1","2","2","2"
"46",16.0117000755854,1,"1","3","1","3","2","2"
"47",34.7430578069761,1,"2","3","2","2","2","3"
"48",0.381228175247088,1,"1","2","2","2","2","2"
"49",20.6916015623137,1,"2","3","1","3","2","2"
"50",5.33271389082074,1,"1","1","2","1","1","1"
"51",15.2975845956244,1,"3","2","1","3","2","2"
"52",60.7196015950758,0,"1","2","1","1","2","2"
"53",30.3313951361924,1,"3","1","1","2","2","2"
"54",8.49178799055517,1,"1","2","2","3","1","3"
"55",34.8419993566349,1,"3","2","1","1","1","2"
"56",19.4792754161172,1,"2","2","3","2","1","2"
"57",17.9229616450612,1,"2","3","1","3","2","2"
"58",43.0747831650078,1,"3","2","1","1","2","3"
"59",32.8084700861946,1,"2","2","1","3","2","2"
"60",2.39826193428598,1,"1","2","1","1","2","3"
"61",8.14128023448866,0,"2","2","2","1","2","1"
"62",16.9610460982192,0,"3","2","1","3","2","3"
"63",1.03273150627501,1,"3","3","2","1","2","2"
"64",46.3602590597002,0,"1","3","2","1","2","2"
"65",12.0270740929991,1,"3","3","2","2","2","2"
"66",66.5168332119938,0,"3","2","1","1","2","2"
"67",17.0244042471051,0,"2","2","1","1","1","3"
"68",63.2606333240401,0,"3","3","1","2","2","3"
"69",42.923676662147,1,"1","2","1","3","1","3"
"70",21.9802760193124,1,"1","3","1","2","2","3"
"71",49.2032425049692,1,"3","2","2","1","2","2"
"72",5.61619033883326,0,"1","3","1","3","2","3"
"73",57.4702331637964,0,"2","3","1","3","2","2"
"74",51.8402390638366,1,"2","2","2","1","1","2"
"75",21.5444529722445,1,"3","2","1","1","2","3"
"76",3.40046863304451,1,"1","2","1","2","2","2"
"77",35.9277243847027,1,"3","3","1","1","2","2"
"78",15.4379534239415,0,"2","2","1","1","2","3"
"79",17.5708550364943,0,"3","3","1","1","1","2"
"80",22.1428260549437,1,"2","2","1","3","2","1"
"81",22.1790456030052,0,"1","3","1","1","2","3"
"82",2.40042994497344,1,"3","2","1","2","2","2"
"83",13.5756644031033,0,"2","2","1","1","2","2"
"84",8.57874226942658,1,"1","1","1","2","2","2"
"85",9.13370778411627,1,"3","2","2","1","1","3"
"86",14.1289963934105,1,"2","2","1","3","2","1"
"87",7.98355061721522,0,"3","3","1","2","2","3"
"88",32.802833821252,0,"3","3","3","3","2","2"
"89",43.060808353126,1,"2","2","3","1","2","2"
"90",7.78338553383946,1,"2","2","1","1","2","1"
"91",24.5246480070055,1,"2","2","1","3","1","3"
"92",0.786381686176173,0,"3","2","1","3","1","2"
"93",66.6464388414752,0,"3","3","1","2","2","2"
"94",10.4536536801606,1,"1","3","1","1","1","3"
"95",11.2976052705199,1,"3","2","1","3","2","1"
"96",6.33324631489813,1,"1","2","1","1","2","3"
"97",3.8083583349362,1,"3","2","1","2","2","3"
"98",16.9389371816069,1,"2","3","2","2","2","2"
"99",68.3483129427768,0,"2","2","1","1","2","2"
"100",30.2027148399502,1,"3","3","2","2","2","2"
"101",42.108902557753,1,"2","3","1","1","2","3"
"102",10.507640697062,1,"2","2","1","2","2","2"
"103",28.1730538494885,1,"2","2","1","2","2","2"
"104",49.8940396523103,1,"3","3","1","1","2","2"
"105",36.0944596501067,1,"2","2","1","2","2","2"
"106",18.8436521159019,1,"2","2","1","2","2","2"
"107",41.0397193999961,1,"2","2","1","2","2","3"
"108",3.29587144777179,1,"2","2","1","1","2","1"
"109",22.6667252744082,1,"2","3","1","3","2","3"
"110",64.1014836281538,0,"2","3","1","2","2","3"
"111",32.2711541345343,1,"1","2","1","3","2","2"
"112",18.3886435038876,1,"2","3","1","2","2","1"
"113",29.6084977705032,1,"1","2","2","2","1","2"
"114",23.8711421529297,1,"3","3","1","2","1","2"
"115",55.2441917418037,1,"3","2","1","3","2","2"
"116",33.5095960916951,1,"2","1","1","1","2","1"
"117",65.8161052935757,0,"3","2","1","2","2","2"
"118",30.2275373153389,1,"1","2","1","2","1","3"
"119",25.0480193831027,1,"2","3","1","3","2","3"
"120",38.7624541250989,1,"2","2","1","2","2","2"
"121",0.129717699019238,1,"3","2","1","3","2","2"
"122",54.6210530027747,1,"2","3","1","1","2","1"
"123",4.26435039844364,1,"3","2","1","1","2","3"
"124",29.1496219336987,1,"2","2","1","3","2","2"
"125",42.7013134884881,0,"2","2","1","3","2","2"
"126",26.8519057296216,1,"3","1","1","3","2","3"
"127",12.290801692754,1,"2","2","1","3","2","3"
"128",7.5329782795161,1,"3","2","1","3","2","3"
"129",10.8931293562055,1,"1","2","2","3","2","3"
"130",67.2666686486918,0,"1","3","1","1","2","3"
"131",13.0986069559585,1,"1","2","2","3","2","3"
